date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,home_elo_now,away_elo_now,elo_diff,home_points_form,home_gf_form,home_ga_form,away_points_form,away_gf_form,away_ga_form
2026-06-22,France,Iraq,,,FIFA World Cup,Philadelphia,United States,True,,1847.2107428568368,1690.459461902662,156.75128095417472,2.6,3.0,0.8,1.2,1.0,1.6
2026-06-22,Norway,Senegal,,,FIFA World Cup,East Rutherford,United States,True,,1665.7566975408201,1752.2590134121474,-86.50231587132726,3.0,5.6,0.8,1.8,1.2,1.4
2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,United States,True,,1814.8302526611094,1632.5432487411708,182.28700391993857,2.0,1.6,0.4,2.0,3.2,0.6
2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,United States,True,,1713.2297922946593,1723.6716293850293,-10.441837090369972,1.8,1.6,1.2,1.8,1.0,1.2
2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,United States,True,,1794.1069726894807,1755.5858871983232,38.521085491157464,1.6,2.6,1.2,1.6,1.2,0.8
2026-06-23,Colombia,DR Congo,,,FIFA World Cup,Zapopan,Mexico,True,,1687.2868072961462,1651.4950836690946,35.791723627051624,2.2,2.6,1.0,1.6,1.2,0.6
2026-06-23,England,Ghana,,,FIFA World Cup,Foxborough,United States,True,,1817.2509384345965,1615.308316231224,201.9426222033726,3.0,3.6,0.4,2.4,1.6,0.4
2026-06-23,Panama,Croatia,,,FIFA World Cup,Toronto,Canada,True,,1729.330974574915,1726.8728315895046,2.4581429854104044,2.0,1.6,0.8,2.0,2.2,1.4
2026-06-24,Mexico,Czech Republic,,,FIFA World Cup,Mexico City,Mexico,False,,1825.6358674891048,1595.9211544216475,229.7147130674573,3.0,1.6,0.2,1.2,2.4,1.4
2026-06-24,South Africa,South Korea,,,FIFA World Cup,Guadalupe,Mexico,True,,1630.809433723855,1790.070405787762,-159.26097206390705,0.8,1.0,1.6,2.0,1.8,0.6
2026-06-24,Canada,Switzerland,,,FIFA World Cup,Vancouver,Canada,False,,1723.0501307202494,1695.3286648436024,27.721465876647017,1.8,2.2,0.6,1.8,2.0,0.8
2026-06-24,Bosnia and Herzegovina,Qatar,,,FIFA World Cup,Seattle,United States,True,,1519.868982064391,1656.928504689221,-137.05952262482992,0.8,1.0,1.6,0.4,0.4,2.4
2026-06-24,Scotland,Brazil,,,FIFA World Cup,Miami Gardens,United States,True,,1645.5661814841746,1752.956485317404,-107.39030383322938,1.8,1.8,1.4,1.4,1.8,1.0
2026-06-24,Morocco,Haiti,,,FIFA World Cup,Atlanta,United States,True,,1819.927216566213,1629.4540803320963,190.47313623411674,2.2,1.4,0.2,1.2,0.6,1.4
2026-06-25,United States,Turkey,,,FIFA World Cup,Inglewood,United States,False,,1794.6531603925828,1661.8353231768754,132.8178372157074,2.0,2.2,1.2,1.4,0.8,1.0
2026-06-25,Paraguay,Australia,,,FIFA World Cup,Santa Clara,United States,True,,1587.3999854103365,1794.1520333204298,-206.75204791009332,1.6,1.0,1.2,2.4,2.2,0.8
2026-06-25,Curaçao,Ivory Coast,,,FIFA World Cup,Philadelphia,United States,True,,1561.0721664620573,1698.6760596103268,-137.60389314826944,0.4,0.4,2.8,1.8,2.0,1.4
2026-06-25,Ecuador,Germany,,,FIFA World Cup,East Rutherford,United States,True,,1629.2917394731378,1802.4063409660757,-173.11460149293794,1.2,0.2,0.2,3.0,3.6,0.4
2026-06-25,Japan,Sweden,,,FIFA World Cup,Arlington,United States,True,,1827.6003073579343,1600.501605167444,227.09870219049026,2.6,2.8,0.8,2.0,2.6,2.0
2026-06-25,Tunisia,Netherlands,,,FIFA World Cup,Kansas City,United States,True,,1649.4157362184917,1780.3830186684238,-130.9672824499321,0.4,1.0,2.8,2.2,3.2,0.8
2026-06-26,Egypt,Iran,,,FIFA World Cup,Seattle,United States,True,,1717.2665335084337,1807.8664942310331,-90.59996072259946,1.6,1.4,1.0,1.4,1.0,0.4
2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,True,,1664.9214797711584,1724.194991888639,-59.27351211748055,0.8,1.6,2.2,1.8,2.6,0.8
2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup,Houston,United States,True,,1596.1805590525933,1671.538210471252,-75.35765141865863,0.8,1.2,1.6,0.8,0.6,1.6
2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,True,,1673.0109259780245,1890.9973010544327,-217.9863750764082,1.8,1.6,0.6,2.2,2.8,0.4
2026-06-26,Norway,France,,,FIFA World Cup,Foxborough,United States,True,,1665.7566975408201,1847.2107428568368,-181.45404531601662,3.0,5.6,0.8,2.6,3.0,0.8
2026-06-26,Senegal,Iraq,,,FIFA World Cup,Toronto,Canada,True,,1752.2590134121474,1690.459461902662,61.799551509485354,1.8,1.2,1.4,1.2,1.0,1.6
2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,United States,True,,1723.6716293850293,1632.5432487411708,91.12838064385846,1.8,1.0,1.2,2.0,3.2,0.6
2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,United States,True,,1713.2297922946593,1814.8302526611094,-101.60046036645008,1.8,1.6,1.2,2.0,1.6,0.4
2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,United States,True,,1687.2868072961462,1794.1069726894807,-106.82016539333449,2.2,2.6,1.0,1.6,2.6,1.2
2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup,Atlanta,United States,True,,1651.4950836690946,1755.5858871983232,-104.09080352922865,1.6,1.2,0.6,1.6,1.2,0.8
2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,United States,True,,1729.330974574915,1817.2509384345965,-87.9199638596815,2.0,1.6,0.8,3.0,3.6,0.4
2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,United States,True,,1726.8728315895046,1615.308316231224,111.56451535828069,2.0,2.2,1.4,2.4,1.6,0.4
